FI,Session,Group,Sujeto,Breakpoint,NT_bp,PRP,FI_letra,Sujeto_total,FI_Letra
15,3,S,5,9.665454552,55,5.73114756,A,305,A
15,3,S,7,10.40555553,54,5.809836098,A,307,A
15,3,S,9,11.54090914,44,10.67540986,A,309,A
15,3,S,11,12.2229166,48,10.15901643,A,3011,A
15,3,S,17,10.84489793,49,7.718032794,A,3017,A
15,3,S,19,9.670909075,55,6.296721331,A,3019,A
15,4,S,1,11.23947369,38,7.577049201,A,301,A
15,4,S,3,10.39814814,54,6.56065575,A,303,A
15,4,S,5,9.925454591,55,6.16885246,A,305,A
15,4,S,7,10.75199998,50,5.465573751,A,307,A
15,4,S,9,11.84523812,42,10.68852459,A,309,A
15,4,S,11,12.06585369,41,9.926229507,A,3011,A
15,4,S,17,11.22391304,46,9.126229552,A,3017,A
15,4,S,19,9.672548958,51,6.811475367,A,3019,A
15,5,S,1,10.63454543,55,6.434426249,A,301,A
15,5,S,3,10.33600005,50,8.011475442,A,303,A
15,5,S,5,9.535555575,45,6.386885227,A,305,A
15,5,S,7,11.21272725,55,8.977049101,A,307,A
15,5,S,9,12.01960779,51,10.34918027,A,309,A
15,5,S,11,11.59090906,33,10.02295081,A,3011,A
15,5,S,17,10.89245283,53,7.631147518,A,3017,A
15,5,S,19,10.1396551,58,5.627868832,A,3019,A
15,1,C,2,10.77647058,17,12.14918034,A,302,A
15,1,C,4,10.30285709,35,11.25573775,A,304,A
15,1,C,6,11.34468083,47,7.995081925,A,306,A
15,1,C,8,9.846153809,13,14.76557382,A,308,A
15,1,C,10,10.63953488,43,8.696721319,A,3010,A
15,1,C,12,10.63600002,25,11.57049176,A,3012,A
15,1,C,14,9.786274573,51,8.021311517,A,3014,A
15,1,C,16,11.32241379,58,8.934426235,A,3016,A
15,2,C,2,11.59285716,28,11.52950822,A,302,A
15,2,C,4,9.15,20,13.05409834,A,304,A
15,2,C,6,11.31111108,36,10.64426232,A,306,A
15,2,C,8,10.56428558,14,11.76229504,A,308,A
15,2,C,10,10.40882357,34,9.032786905,A,3010,A
